# volk-harness-report v2
kernel,impl,mode,result,failed_vlens,max_err
volk_16ic_deinterleave_16i_x2,u_avx2,impl,ok,,0
volk_16ic_deinterleave_16i_x2,u_orc,impl,ok,,0
volk_16ic_deinterleave_16i_x2,generic,misaligned,ok,,
volk_16ic_deinterleave_16i_x2,u_avx2,misaligned,ok,,
volk_16ic_deinterleave_16i_x2,u_orc,misaligned,ok,,
volk_16ic_deinterleave_real_16i,a_avx2,canary,ok,,
volk_16ic_deinterleave_real_16i,a_sse2,canary,ok,,
volk_16ic_deinterleave_real_16i,a_ssse3,canary,ok,,
volk_16ic_deinterleave_real_16i,generic,canary,ok,,
volk_16ic_deinterleave_real_16i,u_avx2,canary,ok,,
volk_16ic_deinterleave_real_16i,a_avx2,immutable,ok,,
volk_16ic_deinterleave_real_16i,a_sse2,immutable,ok,,
volk_16ic_deinterleave_real_16i,a_ssse3,immutable,ok,,
volk_16ic_deinterleave_real_16i,generic,immutable,ok,,
volk_16ic_deinterleave_real_16i,u_avx2,immutable,ok,,
volk_16ic_deinterleave_real_16i,a_avx2,impl,ok,,0
volk_16ic_deinterleave_real_16i,a_sse2,impl,ok,,0
volk_16ic_deinterleave_real_16i,a_ssse3,impl,ok,,0
volk_16ic_deinterleave_real_16i,generic,impl,ok,,0
volk_16ic_deinterleave_real_16i,u_avx2,impl,ok,,0
volk_16ic_deinterleave_real_16i,generic,misaligned,ok,,
volk_16ic_deinterleave_real_16i,u_avx2,misaligned,ok,,
volk_16ic_deinterleave_real_8i,a_avx2,canary,ok,,
volk_16ic_deinterleave_real_8i,a_ssse3,canary,ok,,
volk_16ic_deinterleave_real_8i,generic,canary,ok,,
volk_16ic_deinterleave_real_8i,u_avx2,canary,ok,,
volk_16ic_deinterleave_real_8i,u_orc,canary,ok,,
volk_16ic_deinterleave_real_8i,a_avx2,immutable,ok,,
volk_16ic_deinterleave_real_8i,a_ssse3,immutable,ok,,
volk_16ic_deinterleave_real_8i,generic,immutable,ok,,
volk_16ic_deinterleave_real_8i,u_avx2,immutable,ok,,
volk_16ic_deinterleave_real_8i,u_orc,immutable,ok,,
volk_16ic_deinterleave_real_8i,a_avx2,impl,ok,,0
volk_16ic_deinterleave_real_8i,a_ssse3,impl,ok,,0
volk_16ic_deinterleave_real_8i,generic,impl,ok,,0
volk_16ic_deinterleave_real_8i,u_avx2,impl,ok,,0
volk_16ic_deinterleave_real_8i,u_orc,impl,ok,,0
volk_16ic_deinterleave_real_8i,generic,misaligned,ok,,
volk_16ic_deinterleave_real_8i,u_avx2,misaligned,ok,,
volk_16ic_deinterleave_real_8i,u_orc,misaligned,ok,,
volk_16ic_magnitude_16i,a_avx2,canary,ok,,
volk_16ic_magnitude_16i,a_sse,canary,ok,,
volk_16ic_magnitude_16i,a_sse3,canary,ok,,
volk_16ic_magnitude_16i,generic,canary,ok,,
volk_16ic_magnitude_16i,u_avx2,canary,ok,,
volk_16ic_magnitude_16i,a_avx2,immutable,ok,,
volk_16ic_magnitude_16i,a_sse,immutable,ok,,
volk_16ic_magnitude_16i,a_sse3,immutable,ok,,
volk_16ic_magnitude_16i,generic,immutable,ok,,
volk_16ic_magnitude_16i,u_avx2,immutable,ok,,
volk_16ic_magnitude_16i,a_avx2,impl,ok,,0
volk_16ic_magnitude_16i,a_sse,impl,ok,,0
volk_16ic_magnitude_16i,a_sse3,impl,ok,,0
volk_16ic_magnitude_16i,generic,impl,ok,,0
volk_16ic_magnitude_16i,u_avx2,impl,ok,,0
volk_16ic_magnitude_16i,generic,misaligned,ok,,
volk_16ic_magnitude_16i,u_avx2,misaligned,ok,,
volk_16ic_s32f_deinterleave_32f_x2,a_avx2,canary,ok,,
volk_16ic_s32f_deinterleave_32f_x2,a_sse,canary,ok,,
volk_16ic_s32f_deinterleave_32f_x2,generic,canary,ok,,
volk_16ic_s32f_deinterleave_32f_x2,u_avx2,canary,ok,,
volk_16ic_s32f_deinterleave_32f_x2,u_orc,canary,ok,,
volk_16ic_s32f_deinterleave_32f_x2,a_avx2,immutable,ok,,
volk_16ic_s32f_deinterleave_32f_x2,a_sse,immutable,ok,,
volk_16ic_s32f_deinterleave_32f_x2,generic,immutable,ok,,
volk_16ic_s32f_deinterleave_32f_x2,u_avx2,immutable,ok,,
volk_16ic_s32f_deinterleave_32f_x2,u_orc,immutable,ok,,
volk_16ic_s32f_deinterleave_32f_x2,a_avx2,impl,ok,,1.02e-07
volk_16ic_s32f_deinterleave_32f_x2,a_sse,impl,ok,,1.02e-07
volk_16ic_s32f_deinterleave_32f_x2,generic,impl,ok,,0
volk_16ic_s32f_deinterleave_32f_x2,u_avx2,impl,ok,,1.02e-07
volk_16ic_s32f_deinterleave_32f_x2,u_orc,impl,ok,,0
volk_16ic_s32f_deinterleave_32f_x2,generic,misaligned,ok,,
volk_16ic_s32f_deinterleave_32f_x2,u_avx2,misaligned,ok,,
volk_16ic_s32f_deinterleave_32f_x2,u_orc,misaligned,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_avx2,canary,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_sse,canary,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_sse4_1,canary,ok,,
volk_16ic_s32f_deinterleave_real_32f,generic,canary,ok,,
volk_16ic_s32f_deinterleave_real_32f,u_avx2,canary,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_avx2,immutable,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_sse,immutable,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_sse4_1,immutable,ok,,
volk_16ic_s32f_deinterleave_real_32f,generic,immutable,ok,,
volk_16ic_s32f_deinterleave_real_32f,u_avx2,immutable,ok,,
volk_16ic_s32f_deinterleave_real_32f,a_avx2,impl,ok,,0
volk_16ic_s32f_deinterleave_real_32f,a_sse,impl,ok,,0
volk_16ic_s32f_deinterleave_real_32f,a_sse4_1,impl,ok,,0
volk_16ic_s32f_deinterleave_real_32f,generic,impl,ok,,0
volk_16ic_s32f_deinterleave_real_32f,u_avx2,impl,ok,,0
volk_16ic_s32f_deinterleave_real_32f,generic,misaligned,ok,,
volk_16ic_s32f_deinterleave_real_32f,u_avx2,misaligned,ok,,
volk_16ic_s32f_magnitude_32f,a_avx2,canary,ok,,
volk_16ic_s32f_magnitude_32f,a_sse,canary,ok,,
volk_16ic_s32f_magnitude_32f,a_sse3,canary,ok,,
volk_16ic_s32f_magnitude_32f,generic,canary,ok,,
volk_16ic_s32f_magnitude_32f,u_avx2,canary,ok,,
volk_16ic_s32f_magnitude_32f,a_avx2,immutable,ok,,
volk_16ic_s32f_magnitude_32f,a_sse,immutable,ok,,
volk_16ic_s32f_magnitude_32f,a_sse3,immutable,ok,,
volk_16ic_s32f_magnitude_32f,generic,immutable,ok,,
volk_16ic_s32f_magnitude_32f,u_avx2,immutable,ok,,
volk_16ic_s32f_magnitude_32f,a_avx2,impl,ok,,1.02e-07
volk_16ic_s32f_magnitude_32f,a_sse,impl,ok,,0
volk_16ic_s32f_magnitude_32f,a_sse3,impl,ok,,1.02e-07
volk_16ic_s32f_magnitude_32f,generic,impl,ok,,0
volk_16ic_s32f_magnitude_32f,u_avx2,impl,ok,,1.02e-07
volk_16ic_s32f_magnitude_32f,generic,misaligned,ok,,
volk_16ic_s32f_magnitude_32f,u_avx2,misaligned,ok,,
volk_16ic_x2_dot_prod_16ic,a_avx2,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16ic_x2_dot_prod_16ic,a_sse2,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16ic_x2_dot_prod_16ic,generic,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16ic_x2_dot_prod_16ic,u_avx2,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16ic_x2_dot_prod_16ic,u_sse2,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
